STT,Nhóm,Tool (tên MCP),Trạng thái,Ghi chú,Ngày test cuối
1,Kết nối & Trạng thái,ping,✅,"WS round-trip test, dùng liên tục suốt dự án, ổn định",2026-09-10
2,Kết nối & Trạng thái,get_status,✅,Compound status. Đã fix bug báo sai frameRate=25 cứng,2026-09-14
3,Kết nối & Trạng thái,get_plugin_status,✅,Dùng nội bộ bởi get_status, hoạt động ổn định,2026-09-10
4,Project & File,get_project_info,✅,Đọc project/sequence/bin đúng. Bins list dùng getItems() - đã sửa nhưng chưa live-test riêng nếu có bin lồng nhau,2026-09-14
5,Project & File,import_files,✅,"Live-tested nhiều lần (Mic Check 64 ảnh, icon.png test)",2026-09-14
6,Project & File,open_project,⏳ Waiting...,"KHÔNG phải stub thật (khác add_text_overlay) - có gọi API thật ppro.Project.openDocument(), chỉ là chưa bao giờ live-test trên máy thật. TODO gốc 2026-09-10 xếp nhầm chung nhóm ""stub"" với add_text_overlay",-
7,Project & File,create_bin,✅,Fix createBinAction 2026-09-10 - live-tested,2026-09-10
8,Project & File,move_item_to_bin,✅,"FIX 2026-09-14 nhờ audit sample Adobe chính thức: createMoveItemAction(itemToMove, destFolderCast) cần 2 tham số (gọi trên rootItem), code cũ chỉ truyền 1. Live-tested",2026-09-14
9,Sequence,create_sequence,✅,"Viết lại 2026-09-10, live-tested 60fps/23.976fps/custom size",2026-09-10
10,Sequence,delete_sequence,✅,"Live-tested, verify read-back",2026-09-10
11,Sequence,duplicate_sequence,✅,Xác nhận hoạt động đúng,2026-09-09
12,Sequence,set_active_sequence,✅,Xác nhận hoạt động đúng,2026-09-09
13,Sequence,get_sequence_info,✅,"FIX 2026-09-14: hết báo sai frameRate=25 cứng, dùng getVideoFrameRate() thật + fallback timebase",2026-09-14
14,Sequence,get_sequence_settings,✅,"Live-tested đầy đủ, chỉ hoạt động từ Premiere 26.2+",2026-09-10
15,Sequence,set_sequence_frame_rate,✅,Live-tested 60↔23.976fps. Còn thiếu test 24/25/29.97/30/50/59.94,2026-09-10
16,Clip Editing,insert_clip,✅,"Fix vị trí + duration 2026-09-10, live-tested nhiều lần",2026-09-10
17,Clip Editing,overwrite_clip,✅,"Cùng fix với insert_clip, live-tested + idempotent (gọi lại 2-3 lần vẫn đúng)",2026-09-10
18,Clip Editing,batch_place_clips,✅,"Dùng trong Mic Check workflow, live-tested 64/64 ảnh đặt đúng",2026-09-10
19,Clip Editing,move_clip,✅,"Unblock + live-tested lần đầu, sau khi fix select_all_clips",2026-09-14
20,Clip Editing,trim_clip,✅,"FIX 2026-09-14: đổi sang createSetStartAction/createSetEndAction - code cũ dùng nhầm source-trim API gây crash native ""nullptr""",2026-09-14
21,Clip Editing,cut_clip_at_time,⏳ Waiting...,"Chưa test - cần QE DOM. Audit 2026-09-14 cross-check: cả 2 repo UXP-first (nepfaff, CaYatur) đều không né được QE DOM cho thao tác cắt/trim nâng cao - QE DOM legacy nhưng vẫn hoạt động, không phải bug của mình, chấp nhận dùng tiếp",-
22,Clip Editing,delete_clip,✅,"FIX 2026-09-14 nhờ audit sample Adobe chính thức: createRemoveItemsAction(selection, ripple, mediaType) cần 3 tham số - thiếu MediaType (thứ 3) là lý do 9 lần thử trước đều sai. Live-tested xoá thường + ripple",2026-09-14
23,Clip Editing,ripple_delete,✅,Cùng fix với delete_clip. Live-tested: clip sau tự dịch trái đúng khi ripple,2026-09-14
24,Clip Editing,duplicate_clip,✅,"FIX 2026-09-14: sửa originalStart tính sai (getInPoint→getStartTime). LƯU Ý: offsetSeconds < duration clip gốc sẽ cắt vỡ clip gốc thành nhiều mảnh (hành vi native, không phải bug)",2026-09-14
25,Selection,select_all_clips,✅,"FIX LẦN 2 2026-09-14: setSelection() cần object TrackItemSelection (lấy qua getSelection()+addItem), không phải mảng thô như fix lần 1 (09-10) tưởng đúng",2026-09-14
26,Selection,select_clips_in_range,✅,Cùng fix với select_all_clips - live-tested đúng theo range,2026-09-14
27,Selection,deselect_all_clips,✅,"Live-tested, dùng sequence.clearSelection() trực tiếp (bỏ nhánh createSelectItemsAction chết)",2026-09-14
28,Selection,get_selected_clips,✅,Dùng xác nhận độc lập suốt session - ổn định,2026-09-14
29,Audio,detect_silence_regions,⏳ Waiting...,Chưa test,-
30,Audio,remove_silence_gaps,⏳ Waiting...,Chưa test,-
31,Audio,set_clip_volume,⏳ Waiting...,Chưa test,-
32,Audio,set_clip_pan,⏳ Waiting...,Chưa test,-
33,Audio,mute_track,✅,"FIX 2026-09-14: track.createSetMuteAction() KHÔNG tồn tại (chưa từng live-test trước đây) - sửa track.setMute() gọi trực tiếp. Live-tested: mute→true, unmute→false, cả 2 verify đúng qua actualMuted",2026-09-14
34,Audio,setup_audio_ducking,⏳ Waiting...,Chưa test,-
35,Effects,search_effects,⏳ Waiting...,Chưa test qua tool (nhưng debug_probe_api xác nhận DB 200 effect đọc được),-
36,Effects,apply_effect,⏳ Waiting...,Chưa test,-
37,Effects,get_clip_effects,⏳ Waiting...,Chưa test,-
38,Effects,set_effect_param,⏳ Waiting...,Chưa test,-
39,Effects,remove_effect,⏳ Waiting...,Chưa test,-
40,Transitions,list_available_transitions,⏳ Waiting...,Chưa test,-
41,Transitions,add_transition,⏳ Waiting...,Chưa test,-
42,Transitions,batch_add_transitions,⏳ Waiting...,Chưa test,-
43,Color,apply_lumetri_preset,⏳ Waiting...,Chưa test,-
44,Color,set_clip_color_label,⏳ Waiting...,Chưa test,-
45,Color,adjust_color_values,⏳ Waiting...,Chưa test,-
46,Caption/Subtitle,create_caption_track,◐ Nghi hỏng,"Chưa test trực tiếp tool này. Sequence.createCaptionTrack đã xác nhận KHÔNG tồn tại trong UXP - audit 2026-09-14 cross-check thêm với sample Transcript chính thức Adobe (chỉ có import/export JSON, không có API tạo Caption Track) + cả 4 repo cộng đồng còn lại claim làm được đều dùng CEP/ExtendScript - xác nhận GIỚI HẠN THẬT của hệ sinh thái, không phải do thiếu tìm",2026-09-14
47,Caption/Subtitle,import_srt,⏳ Waiting...,"Import file SRT vào Project panel (khác với tạo caption track) - chưa test tool riêng, nhưng import_files pattern tương tự đã ổn",-
48,Caption/Subtitle,read_sequence_captions,⏳ Waiting...,Chưa test,-
49,Caption/Subtitle,insert_mogrt_caption,◐ Một phần,"Vị trí/thời lượng ĐÚNG (live-tested), nhưng set TEXT không được - component Graphic Group không có API drill xuống text layer con. Audit 2026-09-14 cross-check: sample effects.ts Adobe official cũng chỉ dùng getComponentChain() để thêm/xoá component, không đọc/ghi param; cả 5 repo cộng đồng không repo nào cite được API text thật (CaYatur tự đánh dấu tool tương tự của họ là ""possibly broken"") - xác nhận GIỚI HẠN THẬT của cả hệ sinh thái UXP",2026-09-14
50,Caption/Subtitle,srt_to_mogrt_captions,◐ Một phần,Cùng giới hạn với insert_mogrt_caption - vị trí đúng nhưng text không set được (xem cross-check chi tiết ở dòng insert_mogrt_caption),2026-09-14
51,Caption/Subtitle,generate_and_import_srt,⏳ Waiting...,Chưa test,-
52,Caption/Subtitle,import_transcript_json,⏳ Waiting...,"Chưa test (đánh dấu ""thử nghiệm"" trong TODO gốc)",-
53,Caption/Subtitle,transcribe_clip,⏳ Waiting...,Chưa test,-
54,Caption/Subtitle,auto_caption_from_speech,⏳ Waiting...,Chưa test,-
55,Speed/Time,set_clip_speed,⏳ Waiting...,Chưa test,-
56,Speed/Time,reverse_clip,⏳ Waiting...,Chưa test,-
57,Speed/Time,freeze_frame,⏳ Waiting...,Chưa test,-
58,Media Management,replace_clip_media,⏳ Waiting...,Chưa test,-
59,Media Management,relink_offline_media,⏳ Waiting...,"Đọc code: hiện chỉ trả message hướng dẫn thủ công, chưa tự relink thật - nghi ngờ là stub",-
60,Metadata & Scene,detect_scene_edits,⏳ Waiting...,Chưa test,-
61,Metadata & Scene,get_clip_metadata,✅,"FIX 2026-09-14: API ở namespace tĩnh ppro.Metadata.getXMPMetadata(), không phải trên ProjectItem. Sửa thêm parse Language-Alternative (rdf:Alt/rdf:li) cho field dc:description. Live-tested",2026-09-14
62,Metadata & Scene,set_clip_metadata,✅,FIX 2026-09-14: ppro.Metadata.createSetXMPMetadataAction(). Sửa thêm bug phụ: field ghi thiếu khai báo xmlns:dc bị Premiere âm thầm bỏ qua - tạo rdf:Description riêng có khai báo dc. Live-tested,2026-09-14
63,MOGRT & Overlay,import_mogrt,⏳ Waiting...,Chưa test,-
64,MOGRT & Overlay,add_text_overlay,⛔ Stub,"Stub THẬT: code luôn trả cứng added:false + câu nhắc làm tay, KHÔNG gọi API Premiere nào bất kể input - không cần test",-
65,Export & Capture,capture_frame,⏳ Waiting...,Chưa test,-
66,Export & Capture,export_as_xml,⏳ Waiting...,Chưa test,-
67,Export & Capture,export_to_media_encoder,⏳ Waiting...,Chưa test,-
68,Marker,add_marker,⏳ Waiting...,Chưa test qua tool MCP (marker dùng nhiều bên dự án Beat Shake khác - chưa xác nhận riêng cho premiere-mcp),-
69,Marker,remove_marker,⏳ Waiting...,Chưa test,-
70,Marker,update_marker,⏳ Waiting...,Chưa test,-
71,Debug/Chẩn đoán,debug_probe_api,✅,"Live-tested 2026-09-14 - chỉ đọc, an toàn, trả về đúng thông tin API/effect",2026-09-14
72,Debug/Chẩn đoán,debug_inspect_chain,⏳ Waiting...,Chưa test,-
73,Debug/Chẩn đoán,debug_get_element,⏳ Waiting...,Chưa test (dùng để debug CSS panel UI),-
74,Debug/Chẩn đoán,debug_list_markers,⏳ Waiting...,Chưa test,-
"DE XUAT THEM MOI - audit sau 2026-09-14, 187 capability tu 4 repo (source code that, xem AUDIT_MASTER_TOOL_LIST.md)",,,,,
75,Keyframe,`add_keyframe`,✅,"KHÔNG cần tool riêng - dùng qua set_effect_param(...,timeSeconds). FIX 2026-09-14: thiếu bật createSetTimeVaryingAction(true) trước add keyframe - trước fix chỉ ghi đè giá trị tĩnh. Live-tested sau fix: keyframe thật, nội suy đúng",2026-09-14
76,Keyframe,`remove_keyframe`,✅,"FIX 2026-09-14: createRemoveKeyframeRangeAction đòi start<stop nghiêm ngặt, truyền cùng 1 tick lỗi native. Fix pad ±1ms. Live-tested",2026-09-14
77,Keyframe,`remove_keyframe_range`,✅,"Live-tested: xoá đúng 1/2 keyframe trong khoảng, giữ nguyên keyframe ngoài khoảng",2026-09-14
78,Keyframe,`get_keyframes`,✅,Live-tested sau fix add_keyframe: trả đúng count + timeSeconds/value từng keyframe,2026-09-14
79,Keyframe,`get_value_at_time`,✅,Live-tested: nội suy linear đúng giữa 2 keyframe (vd 10→50 tại điểm giữa ra 30),2026-09-14
80,Keyframe,`set_keyframe_interpolation`,✅,Live-tested: mode hold giữ nguyên giá trị đúng như kỳ vọng (không nội suy),2026-09-14
81,Keyframe,`add_audio_keyframes`,✅,"KHÔNG cần tool riêng - dùng chung get/remove/set_keyframe_interpolation generic (param Level của Volume)",-
82,Track management (chỉ có mute_track hiện tại),"`add_track` / `add_tracks` (đơn/hàng loạt) [hetpatel, leancoderkavy, antipaster]",❌ Không thể,XÁC NHẬN 2026-09-14: probe trực tiếp prototype Sequence/Track/SequenceEditor - KHÔNG có API add/delete/lock/toggle-visibility/set-target track qua UXP. Track chỉ có createSetNameAction/setMute/getIndex/isMuted/getTrackItems (thuần đọc + rename + mute),-
83,Track management (chỉ có mute_track hiện tại),`delete_track` / `remove_track` [cả 3 repo],❌ Không thể,XÁC NHẬN 2026-09-14: probe trực tiếp prototype Sequence/Track/SequenceEditor - KHÔNG có API add/delete/lock/toggle-visibility/set-target track qua UXP. Track chỉ có createSetNameAction/setMute/getIndex/isMuted/getTrackItems (thuần đọc + rename + mute),-
84,Track management (chỉ có mute_track hiện tại),`lock_track`,❌ Không thể,XÁC NHẬN 2026-09-14: probe trực tiếp prototype Sequence/Track/SequenceEditor - KHÔNG có API add/delete/lock/toggle-visibility/set-target track qua UXP. Track chỉ có createSetNameAction/setMute/getIndex/isMuted/getTrackItems (thuần đọc + rename + mute),-
85,Track management,rename_track,✅,Live-tested: đổi tên track đúng verify qua actualName,2026-09-14
86,Track management (chỉ có mute_track hiện tại),`toggle_track_visibility`,❌ Không thể,XÁC NHẬN 2026-09-14: probe trực tiếp prototype Sequence/Track/SequenceEditor - KHÔNG có API add/delete/lock/toggle-visibility/set-target track qua UXP. Track chỉ có createSetNameAction/setMute/getIndex/isMuted/getTrackItems (thuần đọc + rename + mute),-
87,Track management,get_track_info,✅,Live-tested: đọc đúng tên/mute/clipCount 1 track,2026-09-14
88,Track management,list_sequence_tracks,✅,Live-tested: liệt kê đúng toàn bộ video/audio track + clipCount,2026-09-14
